Column1,name,image_url,url,review count,rating,snippet,neighborhood,latitude,longitude,category,type,keywords,Column22,Column32
27,Bella Christie's & Lil Z's Sweet Boutique,http://s3-media3.fl.yelpcdn.com/bphoto/jMXgIxUPXmvEKZAVgWBWTg/ms.jpg,http://www.yelp.com/biz/bella-christies-and-lil-zs-sweet-boutique-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,21,4,"This shop and their staff are AMAZING!  I'm based in NY and wanted to send a dozen donuts to a client located in Pittsburgh.  

Dimitri was super helpful in...",Lawrenceville,40.464398,-79.966333,Donuts,Food,shop;staff;amazing;dozen;donuts;client;helpful,Donuts,Food
28,Better-Maid Donut,http://s3-media4.fl.yelpcdn.com/bphoto/kosx3Bm4nHjz_jxtnqfuXw/ms.jpg,http://www.yelp.com/biz/better-maid-donut-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,24,4.5,"Please please please come back soon!  A few months ago a van actually drove THROUGH the store front.  No one killed, but some injuries.  We miss the donuts...",Crafton Heights,40.44177628,-80.04746246,Donuts,Food,few;months;van;store;front;one;injuries;donuts,Donuts,Food
29,Bicycle Heaven,http://s3-media4.fl.yelpcdn.com/bphoto/UQDRen4KQxm4_kM68VL0Ew/ms.jpg,http://www.yelp.com/biz/bicycle-heaven-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,35,5,This was one of the highlights of my day in Pittsburgh. It is almost overwhelming to see everything in there.  One of my favorite sections was all the...,North Side,40.45637987,-80.03223081,Shopping,Shopping,highlights;day;overwhelming;favorite;sections,Shopping,Shopping
32,Big Dog Coffee,http://s3-media2.fl.yelpcdn.com/bphoto/cXbJ8NqeVBCnpnvhMksI0A/ms.jpg,http://www.yelp.com/biz/big-dog-coffee-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,153,4.5,"Y'all. I LIVED here when I lived on E. Carson. 
LIVED. 

Its the cutiest-patootiest coffee joint in the area. And now that I've been adulting and...",South Side,40.426003,-79.966652,Coffee,Food,patootiest;coffee;joint;area,Coffee,Food
33,Big Shot Bob's House of Wings,http://s3-media1.fl.yelpcdn.com/bphoto/X3ET7iAbYhTEv9OIhDrQng/ms.jpg,http://www.yelp.com/biz/big-shot-bobs-house-of-wings-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,43,4.5,"Pittsburgh just hasn't been that great to me for the year or so I've been here. Unless you are willing to visit the Strip and the like, you are stuck with...",Bellevue,40.50378285,-80.06156333,Sandwiches,Food,great;year;willing;like,Sandwiches,Food
34,Bigham Tavern,http://s3-media1.fl.yelpcdn.com/bphoto/vCYAb_GgIQ-P_fnKWynOEg/ms.jpg,http://www.yelp.com/biz/bigham-tavern-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,106,4,"Bruh!

The food here is so good! Being that I love bacon this is a place after my own heart. I had previously studied the pictures and reviews on Yelp and...",Mt. Washington,40.432386,-80.015066,Nightlife,Nightlife,food;good;bacon;place;own;heart;pictures;reviews,Nightlife,Nightlife
35,Bistro To Go,http://s3-media2.fl.yelpcdn.com/bphoto/TdHYGlGiUGaMvNo3bU0IXQ/ms.jpg,http://www.yelp.com/biz/bistro-to-go-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,33,4,"I ordered the stuffed chicken, roast beef, and garlic mashed potatoes for my mothers 80th birthday party.  The service was not only efficient and friendly,...",North Side,40.453289,-80.001091,Sandwiches,Food,chicken;roast;beef;garlic;potatoes;mothers;80th;birthday;party;service;efficient;friendly,Sandwiches,Food
36,Black Forge Coffee,http://s3-media4.fl.yelpcdn.com/bphoto/tHlAaNvr5ZEjPNcVjQV3gg/ms.jpg,http://www.yelp.com/biz/black-forge-coffee-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,11,5,The world is run on small business and Arlington Ave is becoming a small business empire.  Black Forge Coffee is run by Nick and Ashley and has home grown...,Allentown,40.42151642,-79.99243164,Coffee,Food,world;small;business;small;business;empire;home;grown,Coffee,Food
37,Blighty,,http://www.yelp.com/biz/blighty-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,1,4,British fare in the 'burgh? A variety of pastys (either fresh or frozen) and grocery items too. The traditional Cornish Pastie was tremendously flavorful...,Strip District,40.4503288,-79.9867935,Ethnic Markets,Food,british;fare;burgh;variety;pastys;fresh;frozen;grocery;items;traditional;flavorful,Ethnic Markets,Food
38,Blue Moon,http://s3-media4.fl.yelpcdn.com/bphoto/vLISPmE1aRKzslQOVkPMDA/ms.jpg,http://www.yelp.com/biz/blue-moon-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,23,4,"Fun fun times.

Visiting the Pittsburgh area for a quick weekend getaway for football. We love drag so we were found this spot online what an amazing dive...",Lawrenceville,40.4788799,-79.95566,Nightlife,Nightlife,fun;fun;times;area;quick;weekend;getaway;football;drag;spot;amazing;dive,Nightlife,Nightlife
39,Bluebird Kitchen,http://s3-media4.fl.yelpcdn.com/bphoto/6SGBam9l9nsrebEmS2sM1g/ms.jpg,http://www.yelp.com/biz/bluebird-kitchen-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,147,4,"I once asked myself, ""Where do all the young professionals of this fine rust belt city wait in line for fancy carry out lunches?"" 

The answer is Bluebird....",Downtown,40.44046395,-80.00173934,Newamerican,Food,young;professionals;fine;rust;belt;city;line;fancy;lunches;answer,Newamerican,Food
40,Bombay Gyro's and Lunch Box,http://s3-media1.fl.yelpcdn.com/bphoto/1CCh_WqhMj0hGQz8dmGvJA/ms.jpg,http://www.yelp.com/biz/bombay-gyros-and-lunch-box-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,16,4,"Cheap, quick and easy is just how I like my curry. The aloo baingan, or as I call it the 'eggplant potato-y thing,' is my hands down favorite dish when they...",Downtown,40.4442059,-79.9955278,Ethnic Markets,Food,cheap;quick;easy;curry;aloo;baingan;eggplant;potato;thing;hands;favorite;dish,Ethnic Markets,Food
41,BreadWorks,http://s3-media3.fl.yelpcdn.com/bphoto/CDDUjmq73tGEOdXbIONYUg/ms.jpg,http://www.yelp.com/biz/breadworks-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,17,4.5,"Why have I not been getting bread from BreadWorks my entire life?  I have never actually been inside BreadWorks, but tons of Pittsburgh restaurants use...",North Side,40.46213531,-80.01896667,Bakeries,Food,bread;entire;life;tons;restaurants;use,Bakeries,Food
42,Brew On Broadway,http://s3-media3.fl.yelpcdn.com/bphoto/09y3Fojq6DnqLsp6O7AgVg/ms.jpg,http://www.yelp.com/biz/brew-on-broadway-pittsburgh-2?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,16,4.5,"My favorite coffee shop. I used to drive to Southside to Beehive but this is so close to home and so cozy that I can't stay away. 

The staff is so friendly...",Beechview,40.4108593,-80.0244004,Coffee,Food,favorite;coffee;shop;close;home;cozy;staff;friendly,Coffee,Food
43,Butcher and the Rye,http://s3-media4.fl.yelpcdn.com/bphoto/KD5gNk38_7OjzKjR76gUfQ/ms.jpg,http://www.yelp.com/biz/butcher-and-the-rye-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,354,4.5,"My go to restaurant every year for my birthday... 
It is my favorite restaurant in the city of Pittsburgh! Whenever I go- I HAVE to get the tartare. It is...",Downtown,40.442334,-80.002066,Newamerican,Food,go;restaurant;year;birthday;favorite;restaurant;city;tartare,Newamerican,Food
44,Butterjoint,http://s3-media1.fl.yelpcdn.com/bphoto/VHG9IiSD5cIuxZNahY0XtA/ms.jpg,http://www.yelp.com/biz/butterjoint-pittsburgh-3?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,119,4,"holy sweet buttered heaven! the food is brilliantly well thought out. it's approachable and sophisticated.
beef tartare small plate is perfect. the plate...",Oakland,40.44997597,-79.95073719,Nightlife,Nightlife,food;well;approachable;sophisticated;beef;small;plate;perfect;plate,Nightlife,Nightlife
45,Cafe Delhi,http://s3-media4.fl.yelpcdn.com/bphoto/hzv7lf4MzV8dudN3QFgXVg/ms.jpg,http://www.yelp.com/biz/cafe-delhi-carnegie?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,74,4,"Delicious, authentic Indian food and a friendly wait staff.

It can be crowded at lunch time but isn't that one of the ways to gauge how good the food...",Carnegie,40.40804317,-80.08732259,Indpak,Food,authentic;indian;food;friendly;wait;staff;lunch;time;ways;good;food,Indpak,Food
47,Cafe Moulin,http://s3-media2.fl.yelpcdn.com/bphoto/oFNLYEqsbdYnptRHAXWfZA/ms.jpg,http://www.yelp.com/biz/cafe-moulin-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,73,4,Cafe Moulin makes me smile. They are doing classic French crepes right! The menu has an extensive list of both sweet and savory crepes. The ingredients are...,Shadyside,40.45162224,-79.93318538,French,Food,smile;classic;french;crepes;menu;extensive;list;sweet;savory;crepes;ingredients,French,Food
48,Caliban Book Shop,http://s3-media2.fl.yelpcdn.com/bphoto/DZpKsjfaF6bSol5FfTCsTA/ms.jpg,http://www.yelp.com/biz/caliban-book-shop-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,24,4.5,"One of my favorite book shops ever. Has this amazing scent of old books - gosh, I could get high off of the aroma here (don't judge). Also, awesome staff...",Oakland,40.44491,-79.949,Shopping,Shopping,favorite;book;shops;amazing;scent;old;books;high;aroma;awesome;staff,Shopping,Shopping
49,California Cycle Path Indoor Cycling Studio,http://s3-media1.fl.yelpcdn.com/bphoto/Uv84vrHes8vYSxFie83Liw/ms.jpg,http://www.yelp.com/biz/california-cycle-path-indoor-cycling-studio-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,11,5,I love this place. The instructors make everyone feel confortable.  The workouts are scheduled during convenvient hours. Most classes are available...,Brighton Heights,40.48120938,-80.04149772,Active,Active,place;instructors;confortable;workouts;convenvient;hours;most;classes;available,Active,Active
50,Carnegie Museum of Natural History,http://s3-media4.fl.yelpcdn.com/bphoto/jdIu_tJKV-Fo6ZbwQbnWeA/ms.jpg,http://www.yelp.com/biz/carnegie-museum-of-natural-history-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,62,4.5,"Wow! This place was breath taking! 

My boyfriend's work had a 1920's themed event here and it was perfect! 
The architecture was beautiful, so detailed,...",Oakland,40.443424,-79.948845,Arts,Arts,place;breath;boyfriend;work;event;perfect;architecture;beautiful;detailed,Arts,Arts
51,Carnegie Museums of Pittsburgh,http://s3-media4.fl.yelpcdn.com/bphoto/lswQlnZjL0I3O236yhf4Bg/ms.jpg,http://www.yelp.com/biz/carnegie-museums-of-pittsburgh-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,49,4.5,This museum is awesome. There's two parts of it: the natural history museum and the art museum. The price of admission gives you access to both so come...,Oakland,40.444011,-79.950361,Arts,Arts,museum;awesome;parts;natural;history;museum;art;museum;price;admission;access,Arts,Arts
52,Carson Street Deli & Craft Beer Bar,http://s3-media4.fl.yelpcdn.com/bphoto/4jxyWyzDCStMPg3d1__hog/ms.jpg,http://www.yelp.com/biz/carson-street-deli-and-craft-beer-bar-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,79,4.5,My son has been after me for some time to go here so I took his advice and went. This place is remarkable! Upon entering there is a small bar area along...,South Side,40.42893,-79.98308,Sandwiches,Food,son;time;advice;place;remarkable;small;bar;area,Sandwiches,Food
53,Casa Rasta,http://s3-media2.fl.yelpcdn.com/bphoto/TRs8QITIVcpg3LWJ9HhQhw/ms.jpg,http://www.yelp.com/biz/casa-rasta-pittsburgh-2?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,104,3.5,"(note - they are NOT closed as Yelp is indicating... this is incorrect )

They joined forces with the Berumen family aka Las Palmas ...
Word on the street...",Beechview,40.4052704,-80.0302382,Mexican,Food,yelp;incorrect;forces;family;word;street,Mexican,Food
54,Casa Reyna,http://s3-media4.fl.yelpcdn.com/bphoto/jQ4Q_FfuvtYfUesHCczOiA/ms.jpg,http://www.yelp.com/biz/casa-reyna-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,133,3.5,"I love Mexican food, I have eaten at so many establishments I could not remember them if I tried... but this place- This place will go down in my...",Strip District,40.4516855,-79.9833236,Mexican,Food,mexican;food;many;establishments;place-;place,Mexican,Food
55,Cathedral of Learning,http://s3-media3.fl.yelpcdn.com/bphoto/2wu66dY3aAOBmoHA2BEnfg/ms.jpg,http://www.yelp.com/biz/cathedral-of-learning-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,69,4.5,"If you are looking for something educational and impressive, I highly recommend going to The Nationality Rooms at The Cathedral of Learning. It is only $4...",Oakland,40.44419679,-79.95344545,Arts,Arts,educational;impressive,Arts,Arts
56,Chakh Le India,http://s3-media1.fl.yelpcdn.com/bphoto/qfI5tSvhhs-KUFGdI89fDQ/ms.jpg,http://www.yelp.com/biz/chakh-le-india-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,15,4,Best Indian food in Oakland: Vinay grinds & mixes his own spices & can customize to your heat preferences since he cooks everything fresh while you wait...,Oakland,40.44521025,-79.95570532,Indpak,Food,best;indian;food;own;spices;heat;preferences;fresh,Indpak,Food
58,Chaya Japanese Cuisine,http://s3-media3.fl.yelpcdn.com/bphoto/Cafx8OsSXSCH5xVpKfNlTg/ms.jpg,http://www.yelp.com/biz/chaya-japanese-cuisine-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,174,4,"This is definitely one of the pricier Japanese places around, but you pay for the experience (and the food). From the more traditional and intimate space to...",Squirrel Hill,40.43389,-79.92311,Sushi,Food,pricier;japanese;places;experience;food;traditional;intimate;space,Sushi,Food
